"","zip","total_SHUT","mean_SHUT","mean_shutoffs_1000p","mean_shutoffs_HH","Prc_W","Prc_Blk","Prc_W_Own","Prc_B_Own","Prc_Hisp_Own","Prc_Utils_Incl","Prc_Rnt","Prc_Own","Prc_NonW","Prc_NonW_Own","log_Prc_NonW","log_NonW_Own","log_shut","log_MHI"
"15",60615,544,77.7142857142857,1.89154675369861,0.00387722806677911,0.273951188066008,0.594810167724781,0.106902688180028,0.163991698294739,0.00890973043769544,1,0.70137413694239,0.29862586305761,0.726048811933993,0.893097311819972,-0.320138032348589,-0.113059732239753,3.83508742729091,10.599515074945
"16",60616,401,57.2857142857143,1.13431993511625,0.00261009005531789,0.282683729059075,0.252383890528748,0.145829996949384,0.0667016311666268,0.0321724351473652,1,0.643864799148064,0.356135200851936,0.717316270940925,0.854170003050616,-0.332238432514483,-0.157625038200735,3.97278943552428,10.6782448717404
"17",60617,7667,1095.28571428571,13.2661769011834,0.0390667588842605,0.353676722972689,0.554954065932961,0.21284916953965,0.329044975936708,0.178923105913994,1,0.414700041149993,0.585299958850007,0.646323277027311,0.78715083046035,-0.43645547153744,-0.239335396500332,6.90864905420951,10.5556607315172
"18",60618,1323,189,1.94915728176549,0.00531355563136086,0.779223408342717,0.0250174479072126,0.378259799682364,0.0038012242988685,0.123128671581667,1,0.551397885642342,0.448602114357658,0.220776591657283,0.621740200317636,-1.51060398624421,-0.475232957874165,5.11756034689269,10.9812428378648
"19",60619,7543,1077.57142857143,16.7283739718033,0.0412151839103235,0.0103815703008887,0.971303574480748,0.00360687830796264,0.414637681778562,0.00303088576246311,1,0.572438120165282,0.427561879834718,0.989618429699111,0.996393121692037,-0.0104358346949849,-0.00361339877727491,6.87340577387887,10.4228851668853
"20",60620,6918,988.285714285714,13.7931702988603,0.0386530320073755,0.0121654851125409,0.969418729557768,0.00336215737483078,0.459121207807612,0.00346767692171854,1,0.532451374258338,0.467548625741662,0.987834514887459,0.996637842625169,-0.0122400903163112,-0.00336782212669276,6.75070781917155,10.3944686257678
"21",60621,4572,653.142857142857,19.8345819218614,0.0573082236754466,0.0150540464751356,0.960476370503997,0.00221206009429901,0.263587807847406,0.00448431034278023,1,0.728808890258917,0.271191109741083,0.984945953524864,0.997787939905701,-0.0151685088333394,-0.00221451031325061,6.41115176042818,9.88762958670821
"22",60622,657,93.8571428571429,1.71995528266214,0.00399830366539413,0.746470612666331,0.0816933460770828,0.309171220034363,0.0140252294581933,0.060007516179796,1,0.633220402692383,0.366779597307617,0.253529387333669,0.690828779965637,-1.37227553630428,-0.369863271785842,3.90671254733521,11.204572125179
"23",60623,4752,678.857142857143,7.82825593556204,0.0280990082339851,0.462785569441176,0.331507015298831,0.165907730190606,0.0955973110218728,0.219619124781531,1,0.666895794204517,0.333104205795483,0.537214430558824,0.834092269809394,-0.621357952149498,-0.181411247479957,6.4761920763924,10.2944147871056
"24",60624,3515,502.142857142857,12.852303213777,0.0414945188763612,0.0263798855104055,0.946816787897096,0.0128142030133511,0.239419607004876,0.00882050842114102,1,0.738473326335797,0.261526673664203,0.973620114489595,0.987185796986649,-0.0267340776109811,-0.0128970131036258,6.13152739938792,10.0210492499563
"25",60625,669,95.5714285714286,1.21266937623795,0.00331347652139441,0.59967538530416,0.0447335133053899,0.293393546383974,0.00510199092977825,0.0643747554631548,1,0.614097673127122,0.385902326872878,0.40032461469584,0.706606453616026,-0.915479524252445,-0.347281410761656,4.23643352657732,10.9598892298372
"26",60626,176,25.1428571428571,0.496977624904812,0.00114052801662201,0.576425847650674,0.252848170692967,0.201181358967963,0.0299537011307202,0.0261525698196948,1,0.736460870205229,0.263539129794771,0.423574152349326,0.798818641032037,-0.85902668612199,-0.224621341418276,-Inf,10.5395252800857
"27",60628,12715,1816.42857142857,25.7689872870673,0.0761207431177645,0.0382669327219458,0.942719257794932,0.0223933106798875,0.532793352653376,0.0120473851818629,1,0.433617670428632,0.566382329571368,0.961733067278054,0.977606689320113,-0.0390183436621918,-0.0226478479939935,7.36557646910494,10.5320176839748
"28",60629,4852,693.142857142857,6.08126428845657,0.0226277008520667,0.348569448187928,0.222121780734229,0.267961432657877,0.0865818674442418,0.374474729728268,1,0.416701139445588,0.583298860554412,0.651430551812072,0.732038567342123,-0.428584485471249,-0.311922078782919,6.48764558561664,10.618378251774
"29",60630,675,96.4285714285714,1.6844802353611,0.00466678117738404,0.726084168535027,0.0126582401255058,0.529966032755175,0.0024334453969343,0.0905853923772045,1,0.368264514721714,0.631735485278286,0.273915831464973,0.470033967244825,-1.29493440421927,-0.754950316155767,4.36044645938824,11.0316767556412
"30",60631,177,25.2857142857143,0.884481503858648,0.00217553844984016,0.917787259271789,0.0110398422979434,0.735637247969165,0.00341614822043001,0.0391705061746196,1,0.229735332977065,0.770264667022935,0.0822127407282112,0.264362752030835,-2.49844499223718,-1.33043305827052,-Inf,11.2570724501728
"31",60632,2555,365,4.00011902246522,0.0152186233311816,0.576077456088625,0.0175970672092694,0.342770473538324,0.00231342033298471,0.372537902792655,1,0.466436303267232,0.533563696732768,0.423922543911375,0.657229526461676,-0.858204519892409,-0.419721966162879,5.83748175668432,10.5868901612309
"32",60633,342,48.8571428571429,3.70961273605748,0.0102064183253615,0.668919487090296,0.248692107630778,0.538104460961563,0.106702460581892,0.21696685293574,1,0.309546709283041,0.690453290716959,0.331080512909704,0.461895539038437,-1.10539369176443,-0.772416519443617,3.82587944618216,10.72856694545
